"sample.id","name","Genus","Seqs_pr_taxon","Total_seqs","Prcnt_seqs","Family","Order","Rank","taxonomy_lvl"
"32","Hydrophyllum sp.","Hydrophyllum",1498,134997,1.10965428861382,NA,NA,"genus",NA
"33","Hydrophyllum sp.","Hydrophyllum",4,199,2.01005025125628,NA,NA,"genus",NA
"38","Hydrophyllum sp.","Hydrophyllum",91119,142535,63.9274564142141,NA,NA,"genus",NA
"39","Hydrophyllum sp.","Hydrophyllum",1537,97112,1.58270862509268,NA,NA,"genus",NA
"40","Hydrophyllum sp.","Hydrophyllum",81887,711896,11.5026633103712,NA,NA,"genus",NA
"41","Hydrophyllum sp.","Hydrophyllum",8946,470206,1.90257036277717,NA,NA,"genus",NA
"43","Hydrophyllum sp.","Hydrophyllum",2346,116764,2.00918091192491,NA,NA,"genus",NA
"46","Hydrophyllum sp.","Hydrophyllum",12889,866711,1.48711623597716,NA,NA,"genus",NA
"54","Hydrophyllum sp.","Hydrophyllum",8623,47385,18.1977419014456,NA,NA,"genus",NA
"55","Hydrophyllum sp.","Hydrophyllum",19266,464609,4.1467126121104,NA,NA,"genus",NA
"56","Hydrophyllum sp.","Hydrophyllum",87354,242538,36.0166241990946,NA,NA,"genus",NA
"60","Hydrophyllum sp.","Hydrophyllum",52263,209505,24.9459440108828,NA,NA,"genus",NA
"65","Hydrophyllum sp.","Hydrophyllum",1935,130796,1.47940303984831,NA,NA,"genus",NA
"23","Potentilla sp.","Potentilla",498,66778,0.745754589834976,NA,NA,"genus",NA
"42","Rhodiola sp.","Rhodiola",1043,64982,1.60505986273122,NA,NA,"genus",NA
"14","Symphyotrichum sp.","Symphyotrichum",2087,69233,3.01445842300637,NA,NA,"genus",NA
"22","Symphyotrichum sp.","Symphyotrichum",1,32,3.125,NA,NA,"genus",NA
"33","Symphyotrichum sp.","Symphyotrichum",10,199,5.0251256281407,NA,NA,"genus",NA
"38","Symphyotrichum sp.","Symphyotrichum",840,142535,0.589328936752377,NA,NA,"genus",NA
"45","Symphyotrichum sp.","Symphyotrichum",3,96,3.125,NA,NA,"genus",NA
"56","Symphyotrichum sp.","Symphyotrichum",1784,242538,0.735554840890912,NA,NA,"genus",NA
"26","Thalictrum sp.","Thalictrum",1921,388389,0.494607210811841,NA,NA,"genus",NA
"23","Thalictrum sp.","Thalictrum",275,66778,0.41181227350325,NA,NA,"genus",NA
"25","Thalictrum sp.","Thalictrum",328,54231,0.604820121332817,NA,NA,"genus",NA
"26","Thalictrum sp.","Thalictrum",2912,388389,0.749763767768912,NA,NA,"genus",NA
"40","Thalictrum sp.","Thalictrum",6261,711896,0.879482396305078,NA,NA,"genus",NA
"23","Trollius sp.","Trollius",552,66778,0.82661954535925,NA,NA,"genus",NA
"24","Trollius sp.","Trollius",166,11984,1.38518024032043,NA,NA,"genus",NA
"25","Trollius sp.","Trollius",947,54231,1.74623370397005,NA,NA,"genus",NA
"26","Trollius sp.","Trollius",6343,388389,1.63315644881807,NA,NA,"genus",NA
"27","Trollius sp.","Trollius",1288,58087,2.21736360975778,NA,NA,"genus",NA
"28","Trollius sp.","Trollius",939,71828,1.30728963635351,NA,NA,"genus",NA
"32","Trollius sp.","Trollius",1902,134997,1.40892019822663,NA,NA,"genus",NA
"35","Trollius sp.","Trollius",2376,186141,1.27645172208165,NA,NA,"genus",NA
"39","Trollius sp.","Trollius",1452,97112,1.4951808221435,NA,NA,"genus",NA
"44","Trollius sp.","Trollius",1432,217810,0.657453744088885,NA,NA,"genus",NA
"49","Trollius sp.","Trollius",384,51672,0.743149094287041,NA,NA,"genus",NA
