"Sample","Taxon","Rank","Genus","Family","Order","n"
"51","Trollius sp.","Genus","Trollius","Ranunculaceae","Ranunculales",648
"51","Hypericum scouleri","Species","Hypericum","Hypericaceae","Malpighiales",628
"51","Viola sp.","Genus","Viola","Violaceae","Malpighiales",622
"51","Stellaria sp.","Genus","Stellaria","Caryophyllaceae","Caryophyllales",569
"51","Caltha leptosepala","Species","Caltha","Ranunculaceae","Ranunculales",539
"51","Senecio sp.","Genus","Senecio","Asteraceae","Asterales",477
"52","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",39306
"52","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",26281
"52","Lupinus sp.","Genus","Lupinus","Fabaceae","Fabales",7233
"52","Mertensia ciliata","Species","Mertensia","Boraginaceae","Boraginales",5243
"52","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",4712
"52","Agastache urticifolia","Species","Agastache","Lamiaceae","Lamiales",3947
"52","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",3679
"52","Senecio sp.","Genus","Senecio","Asteraceae","Asterales",3650
"52","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",3104
"52","Mertensia sp.","Genus","Mertensia","Boraginaceae","Boraginales",2583
"54","Hydrophyllum sp.","Genus","Hydrophyllum","Hydrophyllaceae","Boraginales",11669
"54","Hydrophyllum fendleri","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",9264
"54","Epilobium sp.","Genus","Epilobium","Onagraceae","Myrtales",6435
"54","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",3026
"54","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",3004
"54","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",2003
"54","Agastache urticifolia","Species","Agastache","Lamiaceae","Lamiales",1083
"54","Rhodiola sp.","Genus","Rhodiola","Crassulaceae","Saxifragales",835
"54","Hydrophyllum capitatum","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",739
"54","Lupinus sp.","Genus","Lupinus","Fabaceae","Fabales",562
"55","Mertensia sp.","Genus","Mertensia","Boraginaceae","Boraginales",191990
"55","Mertensia fusiformis","Species","Mertensia","Boraginaceae","Boraginales",173359
"55","Mertensia ciliata","Species","Mertensia","Boraginaceae","Boraginales",55132
