"Sample","Taxon","Rank","Genus","Family","Order","n"
"29","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",14138
"29","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",10729
"29","Cynoglossum officinale","Species","Cynoglossum","Boraginaceae","Boraginales",8676
"29","Senecio sp.","Genus","Senecio","Asteraceae","Asterales",7588
"29","Trollius sp.","Genus","Trollius","Ranunculaceae","Ranunculales",6843
"29","Androsace septentrionalis","Species","Androsace","Primulaceae","Ericales",6366
"3","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",6016
"3","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",3756
"3","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",1522
"3","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",931
"3","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",768
"3","Senecio sp.","Genus","Senecio","Asteraceae","Asterales",552
"3","Stellaria sp.","Genus","Stellaria","Caryophyllaceae","Caryophyllales",539
"3","Epilobium sp.","Genus","Epilobium","Onagraceae","Myrtales",405
"3","Lithophragma glabrum","Species","Lithophragma","Saxifragaceae","Saxifragales",367
"3","Agastache urticifolia","Species","Agastache","Lamiaceae","Lamiales",353
"30","Mertensia sp.","Genus","Mertensia","Boraginaceae","Boraginales",85183
"30","Mertensia fusiformis","Species","Mertensia","Boraginaceae","Boraginales",70132
"30","Mertensia ciliata","Species","Mertensia","Boraginaceae","Boraginales",51111
"30","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",41636
"30","Cynoglossum officinale","Species","Cynoglossum","Boraginaceae","Boraginales",30395
"30","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",22389
"30","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",21308
"30","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",21036
"30","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",13325
"30","Erigeron sp.","Genus","Erigeron","Asteraceae","Asterales",10564
"31","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",47544
"31","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",36926
"31","Lupinus sp.","Genus","Lupinus","Fabaceae","Fabales",15095
"31","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",12217
"31","Vicia americana","Species","Vicia","Fabaceae","Fabales",12216
"31","Senecio sp.","Genus","Senecio","Asteraceae","Asterales",10703
"31","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",9501
"31","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",6990
"31","Potentilla sp.","Genus","Potentilla","Rosaceae","Rosales",6386
"31","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",5713
"32","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",83134
"32","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",46462
"32","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",24699
"32","Trollius sp.","Genus","Trollius","Ranunculaceae","Ranunculales",2059
"32","Hydrophyllum sp.","Genus","Hydrophyllum","Hydrophyllaceae","Boraginales",2018
"32","Thalictrum sp.","Genus","Thalictrum","Ranunculaceae","Ranunculales",1883
"32","Caltha leptosepala","Species","Caltha","Ranunculaceae","Ranunculales",1856
"32","Anemone sp.","Genus","Anemone","Ranunculaceae","Ranunculales",1173
"32","Senecio sp.","Genus","Senecio","Asteraceae","Asterales",1067
"32","Dasiphora fruticosa","Species","Dasiphora","Rosaceae","Rosales",996
"33","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",56
"33","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",49
"33","Salix sp.","Species","Populus","Salicaceae","Malpighiales",21
"33","Mertensia ciliata","Species","Mertensia","Boraginaceae","Boraginales",17
"33","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",6
"33","Mertensia sp.","Genus","Mertensia","Boraginaceae","Boraginales",5
"33","Holodiscus dumosus","Species","Holodiscus","Rosaceae","Rosales",5
"33","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",5
"33","Agastache urticifolia","Species","Agastache","Lamiaceae","Lamiales",4
"33","Hydrophyllum fendleri","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",4
"35","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",119107
"35","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",67710
"35","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",31228
"35","Trollius sp.","Genus","Trollius","Ranunculaceae","Ranunculales",2389
"35","Dasiphora fruticosa","Species","Dasiphora","Rosaceae","Rosales",2379
"35","Caltha leptosepala","Species","Caltha","Ranunculaceae","Ranunculales",2345
"35","Thalictrum sp.","Genus","Thalictrum","Ranunculaceae","Ranunculales",2139
"35","Senecio sp.","Genus","Senecio","Asteraceae","Asterales",1890
"35","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",1720
"35","Corydalis caseana","Species","Corydalis","Papaveraceae","Ranunculales",1575
"36","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",29090
"36","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",16486
"36","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",10921
"36","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",8039
"36","Hydrophyllum fendleri","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",6146
"36","Mertensia ciliata","Species","Mertensia","Boraginaceae","Boraginales",1783
"36","Erigeron sp.","Genus","Erigeron","Asteraceae","Asterales",1592
"36","Hydrophyllum sp.","Genus","Hydrophyllum","Hydrophyllaceae","Boraginales",1517
"36","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",1417
"36","Taraxacum campylodes","Species","Taraxacum","Asteraceae","Asterales",1149
"38","Hydrophyllum sp.","Genus","Hydrophyllum","Hydrophyllaceae","Boraginales",117875
